1,2,3,,,county,travel_mode,sum
Placer County,Public transportation,32,,,,,
Placer County, Drove alone,671,,,,,
Placer County, Carpooled,68,,,,,
Placer County,Public transportation,31,,,,,
Placer County,Other travel mode,17,,,,,
Placer County, Drove alone,213,,,,,
Placer County, Carpooled,34,,,,,
Riverside County, Drove alone,163,,,,,
Riverside County, Carpooled,21,,,,,
Riverside County,Other travel mode,50,,,,,
Riverside County, Drove alone,87,,,,,
Riverside County, Carpooled,39,,,,,
Riverside County, Drove alone,25,,,,,
Riverside County, Drove alone,121,,,,,
Riverside County, Carpooled,54,,,,,
Riverside County,Public transportation,14,,,,,
Riverside County,Other travel mode,11,,,,,
Riverside County, Drove alone,119,,,,,
Riverside County, Carpooled,16,,,,,
Riverside County,Other travel mode,160,,,,,
Sacramento County, Drove alone,1747,,,,,
Sacramento County, Carpooled,333,,,,,
Sacramento County,Public transportation,121,,,,,
Sacramento County,Other travel mode,113,,,,,
Sacramento County, Drove alone,1507,,,,,
Sacramento County, Carpooled,313,,,,,
Sacramento County,Public transportation,96,,,,,
Sacramento County,Other travel mode,29,,,,,
Sacramento County, Drove alone,367,,,,,
Sacramento County, Carpooled,110,,,,,
Sacramento County,Other travel mode,8,,,,,
Sacramento County, Drove alone,308,,,,,
Sacramento County, Carpooled,124,,,,,
Sacramento County, Drove alone,1138,,,,,
Sacramento County, Carpooled,413,,,,,
Sacramento County,Public transportation,357,,,,,
Sacramento County,Other travel mode,16,,,,,
Sacramento County, Drove alone,1169,,,,,
Sacramento County, Carpooled,367,,,,,
Sacramento County,Public transportation,25,,,,,
Sacramento County,Other travel mode,37,,,,,
Sacramento County, Drove alone,389,,,,,
Sacramento County, Carpooled,53,,,,,
Sacramento County,Public transportation,8,,,,,
Sacramento County,Other travel mode,79,,,,,
San Benito County, Drove alone,119,,,,,
San Benito County, Carpooled,50,,,,,
San Benito County, Drove alone,40,,,,,
San Benito County, Drove alone,63,,,,,
San Benito County, Carpooled,15,,,,,
San Benito County, Drove alone,6902,,,,,
San Benito County, Carpooled,1318,,,,,
San Benito County,Public transportation,129,,,,,
San Benito County,Other travel mode,66,,,,,
San Bernardino County, Drove alone,157,,,,,
San Bernardino County, Carpooled,7,,,,,
San Bernardino County,Other travel mode,26,,,,,
San Bernardino County, Drove alone,107,,,,,
San Bernardino County,Other travel mode,17,,,,,
San Bernardino County, Drove alone,184,,,,,
San Bernardino County, Carpooled,12,,,,,
San Bernardino County,Public transportation,16,,,,,
San Bernardino County,Other travel mode,9,,,,,
San Bernardino County, Drove alone,168,,,,,
San Bernardino County, Carpooled,12,,,,,
San Bernardino County,Other travel mode,14,,,,,
San Bernardino County, Drove alone,17,,,,,
San Bernardino County, Carpooled,94,,,,,
San Bernardino County,Public transportation,7,,,,,
San Diego County, Drove alone,146,,,,,
San Diego County, Carpooled,39,,,,,
San Diego County,Other travel mode,66,,,,,
San Diego County, Drove alone,80,,,,,
San Diego County, Carpooled,7,,,,,
San Diego County,Other travel mode,15,,,,,
San Diego County, Drove alone,8,,,,,
San Diego County,Other travel mode,29,,,,,
San Diego County, Drove alone,80,,,,,
San Diego County,Public transportation,72,,,,,
San Diego County,Other travel mode,94,,,,,
San Diego County, Drove alone,195,,,,,
San Diego County, Carpooled,25,,,,,
San Diego County,Public transportation,14,,,,,
San Diego County,Other travel mode,150,,,,,
San Francisco, Drove alone,12353,,,,,
San Francisco, Carpooled,1850,,,,,
San Francisco,Public transportation,7174,,,,,
San Francisco,Other travel mode,537,,,,,
San Francisco, Drove alone,2668,,,,,
San Francisco, Carpooled,512,,,,,
San Francisco,Public transportation,676,,,,,
San Francisco,Other travel mode,199,,,,,
San Francisco, Drove alone,5188,,,,,
San Francisco, Carpooled,825,,,,,
San Francisco,Public transportation,543,,,,,
San Francisco,Other travel mode,327,,,,,
San Francisco, Drove alone,351,,,,,
San Francisco, Carpooled,43,,,,,
San Francisco,Public transportation,50,,,,,
San Francisco, Drove alone,97329,,,,,
San Francisco, Carpooled,23322,,,,,
San Francisco,Public transportation,123479,,,,,
San Francisco,Other travel mode,96605,,,,,
San Francisco, Drove alone,11454,,,,,
San Francisco, Carpooled,2131,,,,,
San Francisco,Public transportation,7385,,,,,
San Francisco,Other travel mode,1453,,,,,
San Francisco, Drove alone,438,,,,,
San Francisco, Carpooled,102,,,,,
San Francisco,Public transportation,94,,,,,
San Francisco,Other travel mode,128,,,,,
San Joaquin County, Drove alone,19620,,,,,
San Joaquin County, Carpooled,5366,,,,,
San Joaquin County,Public transportation,761,,,,,
San Joaquin County,Other travel mode,238,,,,,
San Joaquin County, Drove alone,4410,,,,,
San Joaquin County, Carpooled,725,,,,,
San Joaquin County,Public transportation,9,,,,,
San Joaquin County,Other travel mode,64,,,,,
San Joaquin County, Drove alone,113,,,,,
San Joaquin County, Carpooled,163,,,,,
San Joaquin County,Other travel mode,12,,,,,
San Joaquin County, Drove alone,131,,,,,
San Joaquin County, Carpooled,84,,,,,
San Joaquin County,Other travel mode,9,,,,,
San Joaquin County, Drove alone,832,,,,,
San Joaquin County, Carpooled,534,,,,,
San Joaquin County,Public transportation,379,,,,,
San Joaquin County,Other travel mode,34,,,,,
San Joaquin County, Drove alone,5536,,,,,
San Joaquin County, Carpooled,1807,,,,,
San Joaquin County,Public transportation,628,,,,,
San Joaquin County,Other travel mode,68,,,,,
San Joaquin County, Drove alone,144,,,,,
San Joaquin County, Carpooled,8,,,,,
San Joaquin County,Public transportation,13,,,,,
San Luis Obispo County, Drove alone,59,,,,,
San Luis Obispo County, Drove alone,12,,,,,
San Luis Obispo County, Carpooled,24,,,,,
San Luis Obispo County, Drove alone,51,,,,,
San Luis Obispo County,Public transportation,35,,,,,
San Luis Obispo County,Other travel mode,22,,,,,
San Luis Obispo County, Drove alone,193,,,,,
San Luis Obispo County, Carpooled,12,,,,,
San Mateo, Drove alone,10266,,,,,
San Mateo, Carpooled,1187,,,,,
San Mateo,Public transportation,1133,,,,,
San Mateo,Other travel mode,91,,,,,
San Mateo, Drove alone,1184,,,,,
San Mateo, Carpooled,309,,,,,
San Mateo,Public transportation,102,,,,,
San Mateo,Other travel mode,16,,,,,
San Mateo, Drove alone,718,,,,,
San Mateo, Carpooled,147,,,,,
San Mateo,Public transportation,58,,,,,
San Mateo, Drove alone,42,,,,,
San Mateo, Carpooled,29,,,,,
San Mateo,Other travel mode,41,,,,,
San Mateo, Drove alone,47592,,,,,
San Mateo, Carpooled,10684,,,,,
San Mateo,Public transportation,19183,,,,,
San Mateo,Other travel mode,1261,,,,,
San Mateo, Drove alone,43113,,,,,
San Mateo, Carpooled,4709,,,,,
San Mateo,Public transportation,2767,,,,,
San Mateo,Other travel mode,2399,,,,,
San Mateo, Drove alone,145,,,,,
San Mateo, Carpooled,24,,,,,
San Mateo,Public transportation,72,,,,,
Santa Barbara County, Drove alone,55,,,,,
Santa Barbara County, Carpooled,9,,,,,
Santa Barbara County,Public transportation,12,,,,,
Santa Barbara County,Other travel mode,14,,,,,
Santa Barbara County, Drove alone,59,,,,,
Santa Barbara County, Drove alone,41,,,,,
Santa Barbara County,Other travel mode,14,,,,,
Santa Barbara County, Drove alone,61,,,,,
Santa Barbara County,Other travel mode,7,,,,,
Santa Clara, Drove alone,31278,,,,,
Santa Clara, Carpooled,4404,,,,,
Santa Clara,Public transportation,829,,,,,
Santa Clara,Other travel mode,538,,,,,
Santa Clara, Drove alone,2785,,,,,
Santa Clara, Carpooled,619,,,,,
Santa Clara,Public transportation,60,,,,,
Santa Clara,Other travel mode,53,,,,,
Santa Clara, Drove alone,452,,,,,
Santa Clara, Carpooled,56,,,,,
Santa Clara, Drove alone,5987,,,,,
Santa Clara, Carpooled,1047,,,,,
Santa Clara,Public transportation,4072,,,,,
Santa Clara,Other travel mode,139,,,,,
Santa Clara, Drove alone,557995,,,,,
Santa Clara, Carpooled,75063,,,,,
Santa Clara,Public transportation,21060,,,,,
Santa Clara,Other travel mode,78647,,,,,
Santa Clara, Drove alone,241,,,,,
Santa Clara, Carpooled,59,,,,,
Santa Clara,Public transportation,55,,,,,
Santa Cruz County, Drove alone,1021,,,,,
Santa Cruz County, Carpooled,78,,,,,
Santa Cruz County,Public transportation,5,,,,,
Santa Cruz County,Other travel mode,14,,,,,
Santa Cruz County, Drove alone,201,,,,,
Santa Cruz County, Carpooled,20,,,,,
Santa Cruz County,Public transportation,6,,,,,
Santa Cruz County, Drove alone,58,,,,,
Santa Cruz County, Carpooled,14,,,,,
Santa Cruz County, Drove alone,51,,,,,
Santa Cruz County, Carpooled,15,,,,,
Santa Cruz County, Drove alone,484,,,,,
Santa Cruz County, Carpooled,18,,,,,
Santa Cruz County,Public transportation,83,,,,,
Santa Cruz County,Other travel mode,23,,,,,
Santa Cruz County, Drove alone,14650,,,,,
Santa Cruz County, Carpooled,1910,,,,,
Santa Cruz County,Public transportation,315,,,,,
Santa Cruz County,Other travel mode,405,,,,,
Santa Cruz County, Drove alone,69,,,,,
Santa Cruz County, Carpooled,22,,,,,
Santa Cruz County,Other travel mode,9,,,,,
Shasta County, Drove alone,118,,,,,
Shasta County, Carpooled,6,,,,,
Shasta County,Other travel mode,16,,,,,
Shasta County, Drove alone,82,,,,,
Shasta County, Carpooled,18,,,,,
Shasta County, Drove alone,22,,,,,
Shasta County, Carpooled,8,,,,,
Shasta County, Drove alone,31,,,,,
Shasta County, Drove alone,29,,,,,
Shasta County, Drove alone,128,,,,,
Shasta County, Drove alone,42,,,,,
Shasta County, Carpooled,18,,,,,
Shasta County,Public transportation,13,,,,,
Solano County, Drove alone,7457,,,,,
Solano County, Carpooled,1895,,,,,
Solano County,Public transportation,792,,,,,
Solano County,Other travel mode,199,,,,,
Solano County, Drove alone,15476,,,,,
Solano County, Carpooled,3060,,,,,
Solano County,Public transportation,327,,,,,
Solano County,Other travel mode,137,,,,,
Solano County, Drove alone,3471,,,,,
Solano County, Carpooled,796,,,,,
Solano County,Public transportation,4,,,,,
Solano County,Other travel mode,33,,,,,
Solano County, Drove alone,9087,,,,,
Solano County, Carpooled,1363,,,,,
Solano County,Public transportation,138,,,,,
Solano County,Other travel mode,90,,,,,
Solano County, Drove alone,3628,,,,,
Solano County, Carpooled,3126,,,,,
Solano County,Public transportation,1711,,,,,
Solano County,Other travel mode,145,,,,,
Solano County, Drove alone,1096,,,,,
Solano County, Carpooled,195,,,,,
Solano County,Other travel mode,28,,,,,
Solano County, Drove alone,2108,,,,,
Solano County, Carpooled,518,,,,,
Solano County,Other travel mode,51,,,,,
Sonoma, Drove alone,2023,,,,,
Sonoma, Carpooled,260,,,,,
Sonoma,Public transportation,25,,,,,
Sonoma,Other travel mode,75,,,,,
Sonoma, Drove alone,1104,,,,,
Sonoma, Carpooled,235,,,,,
Sonoma,Other travel mode,39,,,,,
Sonoma, Drove alone,13480,,,,,
Sonoma, Carpooled,2759,,,,,
Sonoma,Public transportation,280,,,,,
Sonoma,Other travel mode,226,,,,,
Sonoma, Drove alone,3552,,,,,
Sonoma, Carpooled,644,,,,,
Sonoma,Other travel mode,78,,,,,
Sonoma, Drove alone,3491,,,,,
Sonoma, Carpooled,1032,,,,,
Sonoma,Public transportation,1193,,,,,
Sonoma,Other travel mode,156,,,,,
Sonoma, Drove alone,806,,,,,
Sonoma, Carpooled,169,,,,,
Sonoma,Other travel mode,17,,,,,
Sonoma, Drove alone,142260,,,,,
Sonoma, Carpooled,17383,,,,,
Sonoma,Public transportation,2493,,,,,
Sonoma,Other travel mode,25630,,,,,
Sonoma, Drove alone,83,,,,,
Stanislaus County, Drove alone,5156,,,,,
Stanislaus County, Carpooled,1934,,,,,
Stanislaus County,Public transportation,131,,,,,
Stanislaus County,Other travel mode,24,,,,,
Stanislaus County, Drove alone,1129,,,,,
Stanislaus County, Carpooled,296,,,,,
Stanislaus County,Other travel mode,42,,,,,
Stanislaus County, Drove alone,81,,,,,
Stanislaus County, Carpooled,5,,,,,
Stanislaus County, Drove alone,313,,,,,
Stanislaus County, Carpooled,200,,,,,
Stanislaus County,Public transportation,46,,,,,
Stanislaus County,Other travel mode,24,,,,,
Stanislaus County, Drove alone,3001,,,,,
Stanislaus County, Carpooled,1037,,,,,
Stanislaus County,Public transportation,133,,,,,
Stanislaus County,Other travel mode,99,,,,,
Sutter County, Drove alone,57,,,,,
Sutter County, Carpooled,88,,,,,
Sutter County,Other travel mode,15,,,,,
Sutter County, Drove alone,49,,,,,
Sutter County, Carpooled,18,,,,,
Tulare County, Drove alone,20,,,,,
Tulare County, Carpooled,8,,,,,
Tulare County, Drove alone,16,,,,,
Tulare County,Other travel mode,39,,,,,
Tulare County, Drove alone,133,,,,,
Tulare County, Carpooled,8,,,,,
Tulare County,Other travel mode,7,,,,,
Ventura County, Drove alone,56,,,,,
Ventura County, Carpooled,11,,,,,
Ventura County, Drove alone,22,,,,,
Ventura County,Public transportation,5,,,,,
Ventura County, Drove alone,208,,,,,
Ventura County, Carpooled,25,,,,,
Ventura County,Other travel mode,27,,,,,
Ventura County, Drove alone,31,,,,,
Yolo County, Drove alone,397,,,,,
Yolo County, Carpooled,113,,,,,
Yolo County,Public transportation,105,,,,,
Yolo County,Other travel mode,9,,,,,
Yolo County, Drove alone,502,,,,,
Yolo County, Carpooled,99,,,,,
Yolo County, Drove alone,40,,,,,
Yolo County,Other travel mode,67,,,,,
Yolo County, Drove alone,259,,,,,
Yolo County, Carpooled,6,,,,,
Yolo County,Other travel mode,16,,,,,
Yolo County, Drove alone,209,,,,,
Yolo County, Carpooled,142,,,,,
Yolo County,Public transportation,165,,,,,
Yolo County,Other travel mode,9,,,,,
Yolo County, Drove alone,256,,,,,
Yolo County, Carpooled,16,,,,,
Yolo County,Public transportation,8,,,,,
Yolo County,Other travel mode,31,,,,,
Yolo County, Drove alone,87,,,,,
Yolo County, Carpooled,12,,,,,
Yuba County, Drove alone,16,,,,,
Yuba County, Carpooled,19,,,,,
Yuba County, Drove alone,36,,,,,
Yuba County, Carpooled,17,,,,,
Yuba County, Drove alone,14,,,,,
Yuba County, Carpooled,31,,,,,
Albany County, Drove alone,35,,,,,
Albany County,Public transportation,26,,,,,
Albany County, Drove alone,63,,,,,
Albany County, Carpooled,18,,,,,
Albany County,Other travel mode,3,,,,,
Bronx County, Drove alone,60800,,,,,
Bronx County, Carpooled,13121,,,,,
Bronx County,Public transportation,97039,,,,,
Bronx County,Other travel mode,60872,,,,,
Bronx County, Drove alone,7078,,,,,
Bronx County, Carpooled,1441,,,,,
Bronx County,Public transportation,14758,,,,,
Bronx County,Other travel mode,451,,,,,
Broome County, Drove alone,26,,,,,
Broome County,Public transportation,19,,,,,
Broome County,Other travel mode,1,,,,,
Dutchess County, Drove alone,1065,,,,,
Dutchess County, Carpooled,213,,,,,
Dutchess County,Public transportation,92,,,,,
Dutchess County, Drove alone,438,,,,,
Dutchess County, Carpooled,24,,,,,
Dutchess County,Public transportation,99,,,,,
Erie County, Drove alone,137,,,,,
Erie County, Carpooled,7,,,,,
Erie County,Public transportation,25,,,,,
Herkimer County, Drove alone,40,,,,,
Jefferson County, Drove alone,6,,,,,
Jefferson County,Other travel mode,2,,,,,
Kings County, Drove alone,46,,,,,
Kings County, Carpooled,3,,,,,
Kings County,Other travel mode,47,,,,,
Kings County, Drove alone,4460,,,,,
Kings County, Carpooled,771,,,,,
Kings County,Public transportation,8413,,,,,
Kings County,Other travel mode,412,,,,,
Kings County, Drove alone,26874,,,,,
Kings County, Carpooled,4433,,,,,
Kings County,Public transportation,36301,,,,,
Kings County,Other travel mode,2554,,,,,
Livingston County, Drove alone,5,,,,,
Livingston County, Carpooled,17,,,,,
