State FIPS,R County FIPS Code,R State Name,R County,R Metropolitan Statistical Area FIPS Code,R  Metropolitan Statistical Area of County,State FIPS Code,County FIPS Code,State Name,County,Metropolitan Statistical Area FIPS Code,Metropolitan Statistical Area of County,travel_mode,workers_in
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,26764
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,1134
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,10335
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,1949
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Public transportation,421
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Other travel mode,165
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Drove alone,806
6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Carpooled,266
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,317
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,39
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,54
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,236
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,51
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,34
6,17,California,El Dorado County,40900,"Sacramento--Roseville--Arden-Arcade, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,11
